Female,Pairbonded,TopMale,PropTopSongs,nTopSongs,nEggs,Aviary,EggsAssigned,Disrupted
FWLY,False,MY,0.5454545454545454,18.0,1.0,17,True,False
FYGB,True,MMO,0.9558823529411765,65.0,4.0,17,True,False
FYLB,True,MLN,0.6585365853658537,27.0,0.0,17,True,False
FBDN,False,MYHM,0.5789473684210527,11.0,3.0,18,True,False
FBGM,True,MHWH,0.8095238095238095,34.0,1.0,18,True,False
FBLG,False,MYHM,0.5555555555555556,10.0,5.0,18,True,False
FDOG,True,MPNH,0.9776119402985075,131.0,19.0,18,True,False
FGRO,False,MYHM,0.5384615384615384,7.0,0.0,18,True,False
FLMW,True,M2M,0.9209302325581395,198.0,5.0,18,True,False
FLPB,True,MMNL,0.7435897435897436,29.0,0.0,18,True,False
FLRH,False,MYHM,0.375,3.0,0.0,18,True,False
FMGW,True,MBWL,0.7368421052631579,28.0,1.0,18,True,False
FMYB,True,MGOP,0.9894179894179894,187.0,8.0,18,True,False
FNGH,True,MHWH,0.9305555555555556,67.0,1.0,18,True,False
FNMH,True,MGHL,0.7272727272727273,40.0,0.0,18,True,False
FNR,False,MYHM,0.59375,19.0,3.0,18,True,False
FNWM,False,MYHM,0.6842105263157895,13.0,3.0,18,True,False
FONP,True,MBMY,0.9076923076923077,59.0,2.0,18,True,False
FPB,True,MLDW,0.8383838383838383,83.0,6.0,18,True,False
FPMB,False,MYHM,0.5,2.0,0.0,18,True,False
FRPD,False,MYHM,0.5897435897435898,23.0,0.0,18,True,False
FWH,True,MRMO,0.9012345679012346,73.0,14.0,18,True,False
